latitude,longitude,distance_from_last_point_m,cumulative_distance_m
40.83628,-73.9345,51.56,16574.181
40.83658,-73.93432,36.635,16610.816
40.83657,-73.93432,1.112,16611.928
40.83707,-73.93403,60.715,16672.642
40.8373,-73.93392,27.198,16699.84
40.8375,-73.93375,26.441,16726.281
40.83831,-73.93329,98.029,16824.31
40.8391180034662,-73.9328420218439,97.43,16921.74
40.8399260051996,-73.9323940327664,97.43,17019.169
40.8407340051999,-73.9319460327668,97.43,17116.599
40.8415420034671,-73.9314980218447,97.43,17214.028
40.84235,-73.93105,97.43,17311.458
40.84314,-73.9307,92.647,17404.105
40.8437700001377,-73.9304700022194,72.675,17476.78
40.8444,-73.93024,72.675,17549.455
40.8447,-73.93008,35.971,17585.427
40.84527,-73.92973,69.885,17655.312
40.8457050002595,-73.9294500018888,53.799,17709.111
40.84614,-73.92917,53.799,17762.91
40.84644,-73.92891,39.888,17802.799
40.847010000803,-73.9285050034162,71.956,17874.755
40.84758,-73.9281,71.956,17946.711
40.84774,-73.92797,20.883,17967.594
40.84813,-73.92774,47.486,18015.079
40.8487875026584,-73.9272850135604,82.522,18097.601
40.8494450035291,-73.9268300180914,82.522,18180.122
40.8501025026121,-73.9263750135928,82.522,18262.644
40.85076,-73.92592,82.522,18345.165
40.85086,-73.92595,11.402,18356.568
40.85093,-73.92595,7.784,18364.351
40.85106,-73.92591,14.842,18379.193
40.85133,-73.92568,35.715,18414.908
40.85187,-73.92541,64.196,18479.105
40.8524950008591,-73.9249650041949,78.934,18558.039
40.85312,-73.92452,78.934,18636.974
40.85348,-73.92424,46.444,18683.417
40.85367,-73.92398,30.406,18713.823
40.85376,-73.92389,12.548,18726.371
40.8538,-73.9238,8.78,18735.151
40.85422,-73.92349,53.487,18788.638
40.85421,-73.92349,1.112,18789.75
40.85486,-73.92302,82.38,18872.13
40.85532,-73.92278,54.988,18927.118
40.85576,-73.92264,50.323,18977.441
40.85612,-73.92255,40.74,19018.18
40.85643,-73.92254,34.481,19052.661
40.85684,-73.92264,46.359,19099.02
40.85705,-73.92264,23.351,19122.371
40.8573,-73.92256,28.601,19150.972
40.85748,-73.92264,21.116,19172.088
40.85756,-73.92269,9.839,19181.928
40.85785,-73.92274,32.52,19214.447
40.85808,-73.92274,25.575,19240.022
40.85839,-73.92268,34.838,19274.86
40.85871,-73.92272,35.741,19310.601
40.85879,-73.9228,11.153,19321.754
40.85881,-73.92282,2.788,19324.542
40.85893,-73.92281,13.37,19337.912
40.85945,-73.92245,65.268,19403.18
40.85955,-73.92237,12.996,19416.177
40.85979,-73.92223,29.169,19445.345
40.86023,-73.92192,55.438,19500.784
40.86085,-73.92141,81.193,19581.977
40.8614166681096,-73.9210000070218,71.827,19653.804
40.8619833347676,-73.9205900070282,71.827,19725.631
40.86255,-73.92018,71.827,19797.458
40.86307,-73.91978,66.894,19864.352
40.86316,-73.9197,12.059,19876.411
40.86368,-73.91934,65.267,19941.678
40.8640900004593,-73.9190300018856,52.517,19994.195
40.8645,-73.91872,52.517,20046.712
40.8650550008045,-73.9183200032703,70.285,20116.997
40.86561,-73.91792,70.285,20187.281
40.86559,-73.91792,2.224,20189.505
40.8663500052711,-73.9173680253344,96.417,20285.922
40.8671100079109,-73.9168160379991,96.417,20382.338
40.8678700079194,-73.9162640379936,96.417,20478.755
40.8686300052964,-73.9157120253173,96.417,20575.171
40.86939,-73.91516,96.417,20671.588
40.86961,-73.91501,27.523,20699.111
